"Metric","Mean","SD"
"Runtime (seconds)",5.34733633756638,0.868308732535038
"Profile accuracy",0.974724,0.0576588558731966
"Q-matrix accuracy (0.05)",0.96125,0.0470715808758363
"Q-matrix false positive rate (0.05)",0.038,0.0441804025397533
"Q-matrix false negative rate (0.05)",0.00075,0.00556753758384035
"Q-matrix accuracy (0.01)",0.978583333333333,0.0458773892945626
"Q-matrix false positive rate (0.01)",0.0205,0.0423333863569752
"Q-matrix false negative rate (0.01)",0.000916666666666667,0.00647612814035019
"Beta RMSE",0.150205669719304,0.238086555829019
"Pii RMSE",0.0077225567338599,0.00331585211629598
"Tau RMSE",0.0151901176328896,0.00449890148500953
